"PURPOSE","ACCURACY","UNDERSTA","COOPERAT"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
"Good","Mostly true","Good","Interested"
